  5780,   10.114,    0.809,    0.374,    0.128,    0.068,    1.075,
  5785,   10.839,    0.656,  -10.351,    0.098,    0.041,    1.079,
  5790,   11.641,   -1.435,   -4.961,    0.085,    0.036,    1.105,
  5795,   11.778,   -2.381,    2.893,    0.064,    0.025,    1.123,
  5800,   12.274,  -13.404,   10.389,    0.066,    0.009,    1.123,
  5805,   14.175,  -21.198,   43.030,    0.007,    0.016,    1.136,
  5810,   10.992,  -21.694,   70.305,    0.115,    0.022,    1.235,
  5815,    4.587,  -23.106,   58.854,    0.099,    0.086,    1.285,
  5820,   -2.702,  -32.694,   99.358,    0.039,    0.084,    1.185,
  5825,    5.007,  -36.648,  120.854,    0.230,    0.064,    1.118,
  5830,   26.557,  -46.175,   85.404,    0.230,    0.083,    1.209,
  5835,   -8.503,  -57.335,  101.946,    0.320,    0.144,    0.985,
  5840,   -2.297,  -63.832,   97.282,    0.235,    0.040,    1.061,
  5845,    8.954,  -62.977,  101.015,    0.084,    0.040,    1.180,
  5850,   -8.687,  -69.526,  101.305,    0.058,    0.047,    1.191,
  5855,   -6.877,  -65.694,  113.473,    0.036,    0.014,    1.032,
  5860,   -1.160,  -66.793,  113.083,    0.010,    0.069,    0.976,
  5865,   -3.328,  -79.893,  148.473,    0.050,    0.163,    1.060,
  5870,   -9.847,  -95.824,  173.938,    0.115,    0.140,    1.105,
  5875,  -13.358,  -92.458,  163.580,    0.105,    0.042,    1.138,
  5880,  -15.160,  -72.091,  137.320,    0.038,    0.032,    1.152,
  5885,  -20.053,  -51.450,   99.793,    0.015,    0.005,    1.143,
  5890,  -22.396,  -34.206,   84.610,    0.062,    0.012,    1.138,
  5895,  -22.854,  -18.061,   76.877,    0.059,    0.037,    1.077,
  5900,  -23.770,  -19.488,   77.458,    0.033,    0.035,    1.085,
  5905,  -25.832,  -28.587,   81.709,    0.056,    0.013,    1.104,
  5910,  -23.625,  -31.167,   83.610,    0.072,    0.035,    1.054,
  5915,  -21.099,  -32.748,   82.793,    0.057,    0.053,    0.960,
  5920,  -11.114,  -20.419,   71.396,    0.073,    0.076,    1.012,
  5925,   -7.038,  -19.190,   76.030,    0.005,    0.018,    1.089,
  5930,   -5.450,  -24.290,   81.381,    0.022,    0.033,    1.063,
  5935,    3.870,  -20.977,   82.137,    0.009,    0.019,    1.089,
  5940,  -17.106,  -41.709,   68.931,    0.177,    0.176,    1.005,
  5945,  -14.832,  -51.572,   99.732,    0.193,    0.058,    1.139,
